交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/3/25,TXO,202103W5,14400,買權,-,-,-,-,0,1660,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,14400,賣權,1.1,1.1,0.4,0.4,425,0.4,258,0.3,1,1.1,0.4,,一般
2021/3/25,TXO,202103W5,14500,買權,-,-,-,-,0,1560,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,14500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,14500,賣權,1,1.1,0.5,0.7,221,0.7,799,0.4,0.8,2.2,0.5,,一般
2021/3/25,TXO,202103W5,14500,賣權,1.6,1.8,1.1,1.8,538,-,-,1.1,1.8,2.2,1.1,,盤後
2021/3/25,TXO,202103W5,14600,買權,-,-,-,-,0,1460,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,14600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,14600,賣權,1.1,1.4,0.6,0.7,21,0.7,385,0.1,0.9,2.7,0.6,,一般
2021/3/25,TXO,202103W5,14600,賣權,1.8,2,1.4,1.6,321,-,-,1.3,1.7,2.7,1.1,,盤後
2021/3/25,TXO,202103W5,14700,買權,-,-,-,-,0,1360,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,14700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,14700,賣權,2,2,0.8,1,177,1,500,0.1,1.1,3.1,0.8,,一般
2021/3/25,TXO,202103W5,14700,賣權,2.5,2.5,1.3,1.8,861,-,-,1.4,1.8,3.1,1.3,,盤後
2021/3/25,TXO,202103W5,14800,買權,-,-,-,-,0,1260,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,14800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,14800,賣權,2.5,2.5,1,1.3,390,1.3,1765,0.3,1.4,3.2,1,,一般
2021/3/25,TXO,202103W5,14800,賣權,3,3,1.7,2.3,339,-,-,2,2.3,3.2,1.7,,盤後
2021/3/25,TXO,202103W5,14900,買權,-,-,-,-,0,1160,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,14900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,14900,賣權,2.5,2.9,1.2,1.7,742,1.7,1170,1,1.8,4,1.2,,一般
2021/3/25,TXO,202103W5,14900,賣權,3.4,3.8,2.1,3.4,286,-,-,2.7,3.6,4,2.1,,盤後
2021/3/25,TXO,202103W5,15000,買權,-,-,-,-,0,1060,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,15000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,15000,賣權,5,7.9,1.4,2.1,2301,2.1,1768,1.6,3.4,7.9,1.4,,一般
2021/3/25,TXO,202103W5,15000,賣權,4.4,5,2.7,4.6,713,-,-,4,5,5.1,2.7,,盤後
2021/3/25,TXO,202103W5,15100,買權,-,-,-,-,0,960,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,15100,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,15100,賣權,5,5.6,1.9,2.8,3412,2.8,2923,2.3,2.8,6.8,1.9,,一般
2021/3/25,TXO,202103W5,15100,賣權,5.5,6.7,3.8,6.5,392,-,-,6,6.6,6.8,3.1,,盤後
2021/3/25,TXO,202103W5,15200,買權,-,-,-,-,0,860,1,-,-,-,-,,一般
2021/3/25,TXO,202103W5,15200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,15200,賣權,8.7,8.9,2.5,3.7,11885,3.7,5400,3.8,3.9,10,2.5,,一般
2021/3/25,TXO,202103W5,15200,賣權,8,10,4.6,9.9,1047,-,-,9.5,10,10,4.6,,盤後
2021/3/25,TXO,202103W5,15300,買權,-,-,-,-,0,760,1,-,-,-,-,,一般
2021/3/25,TXO,202103W5,15300,買權,730,730,730,730,1,-,-,118,-,730,730,,盤後
2021/3/25,TXO,202103W5,15300,賣權,13.5,14,3.9,5.5,8255,5.5,7644,5.1,5.7,14,3.9,,一般
2021/3/25,TXO,202103W5,15300,賣權,11,14,7,14,2066,-,-,13.5,14,14,6.9,,盤後
2021/3/25,TXO,202103W5,15400,買權,650,650,650,650,1,665,3,464,785,650,620,,一般
2021/3/25,TXO,202103W5,15400,買權,635,635,635,635,1,-,-,387,-,640,620,,盤後
2021/3/25,TXO,202103W5,15400,賣權,20.5,20.5,5.3,8,10507,8,5722,7.7,8,23.5,5.3,,一般
2021/3/25,TXO,202103W5,15400,賣權,16,23.5,11.5,23.5,3679,-,-,22,23.5,23.5,11.5,,盤後
2021/3/25,TXO,202103W5,15500,買權,461,595,461,565,17,565,18,535,585,595,455,,一般
2021/3/25,TXO,202103W5,15500,買權,530,550,455,455,8,-,-,287,715,550,455,,盤後
2021/3/25,TXO,202103W5,15500,賣權,30,31.5,8,11.5,13939,11.5,8062,11.5,12,37,8,,一般
2021/3/25,TXO,202103W5,15500,賣權,21.5,37,16,37,6425,-,-,36,37,37,16,,盤後
2021/3/25,TXO,202103W5,15600,買權,372,492,363,478,41,472,26,471,520,492,363,,一般
2021/3/25,TXO,202103W5,15600,買權,443,483,401,401,17,-,-,252,484,483,401,,盤後
2021/3/25,TXO,202103W5,15600,賣權,45,45,13,17.5,16806,17.5,9181,17.5,20,56,13,,一般
2021/3/25,TXO,202103W5,15600,賣權,34.5,56,25.5,56,6360,-,-,55,56,56,25,,盤後
2021/3/25,TXO,202103W5,15650,買權,330,463,328,458,29,427,6,425,444,463,328,,一般
2021/3/25,TXO,202103W5,15650,賣權,53,54,17,22,8887,22,3557,20.5,22,54,17,,一般
2021/3/25,TXO,202103W5,15700,買權,297,415,287,381,663,381,145,382,399,437,287,,一般
2021/3/25,TXO,202103W5,15700,買權,356,394,338,338,243,-,-,258,405,437,338,,盤後
2021/3/25,TXO,202103W5,15700,賣權,66,69,20.5,28,15690,28,9359,27,27.5,77,20.5,,一般
2021/3/25,TXO,202103W5,15700,賣權,49.5,77,38,77,5847,-,-,77,79,77,30,,盤後
2021/3/25,TXO,202103W5,15750,買權,283,388,250,340,596,340,216,338,435,388,250,,一般
2021/3/25,TXO,202103W5,15750,買權,315,347,283,283,242,-,-,242,429,370,283,,盤後
2021/3/25,TXO,202103W5,15750,賣權,75,79,27,34,10026,34,4827,33.5,34,87,27,,一般
2021/3/25,TXO,202103W5,15750,賣權,59,87,45,87,3486,-,-,84,87,87,43.5,,盤後
2021/3/25,TXO,202103W5,15800,買權,216,349,210,305,1517,297,955,296,308,368,210,,一般
2021/3/25,TXO,202103W5,15800,買權,281,318,211,211,320,-,-,208,238,368,211,,盤後
2021/3/25,TXO,202103W5,15800,賣權,94,94,32,42,16366,42,5249,41.5,42,107,32,,一般
2021/3/25,TXO,202103W5,15800,賣權,68,107,54,104,5042,-,-,104,106,107,41,,盤後
2021/3/25,TXO,202103W5,15850,買權,184,305,178,261,1287,261,242,258,266,305,170,,一般
2021/3/25,TXO,202103W5,15850,買權,242,279,170,184,82,-,-,180,225,295,170,,盤後
2021/3/25,TXO,202103W5,15850,賣權,110,110,41,52,12500,52,3096,51,53,125,41,,一般
2021/3/25,TXO,202103W5,15850,賣權,85,125,64,125,3123,-,-,124,125,125,62,,盤後
2021/3/25,TXO,202103W5,15900,買權,155,268,144,227,3233,223,1006,223,235,274,144,,一般
2021/3/25,TXO,202103W5,15900,買權,206,234,150,151,1764,-,-,150,162,274,150,,盤後
